feature,importance
numeric__grade_average,0.26338227798549063
numeric__G2,0.24038016373761364
numeric__G1,0.17732871698790967
numeric__failures,0.03588669501780526
numeric__grade_trend,0.022325204300047245
numeric__absences,0.015773077548587804
categorical__subject_portuguese,0.01451922484460449
categorical__subject_math,0.013987241421823999
numeric__goout,0.011137537935922474
categorical__higher_yes,0.010201136300632923
numeric__Walc,0.008576949476549803
categorical__higher_no,0.008253732414367566
numeric__age,0.008211666338589505
numeric__Dalc,0.007869167469536907
numeric__Fedu,0.007661371482584551
numeric__freetime,0.007530225630287301
numeric__health,0.007222723459689494
numeric__Medu,0.007135339829939194
numeric__famrel,0.006139189479361924
numeric__studytime,0.005969153174172222
